PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
26,13.43,101.16,6.34,20.19,20.05,1.48,5.05,0.62,97.52,34.3,4.02
1.27,12.45,100.93,8.18,21.28,20.99,5.71,6.06,1.09,102.98,115,4.71
0.01,10.86,100.8,8.98,20.65,20.4,4.16,6.87,0.98,96.7,85.8,5.41
0.01,7.57,101.94,4.75,17.11,18.98,5.56,3.89,1.16,95.59,112.3,3.17
4.74,11.54,101.59,6.44,19.12,19.45,1.05,5.32,1.09,94.06,25.1,4.27
1.52,13,100.68,6.11,20.44,20.33,1.74,4.5,0.67,93.93,40.2,3.48
16.02,7.02,101.24,7.02,14.71,17.51,2.17,5.85,1.28,101.12,47.7,4.84
15.46,8.48,101.18,10.81,13.59,16.5,0.38,9.12,0.98,94.62,9.6,7.34
0,7.32,101.7,5.4,15.09,17.01,5.34,4.38,1.04,93.91,107.9,3.56
0.07,7.93,101.92,6.48,15.2,16.76,4.49,5.41,0.6,89.27,92.5,4.39
0,5.37,102.75,5.44,11.76,15.33,5.22,4.63,0.27,90.98,105.4,3.86
0,7.26,102.57,3.43,14.85,16.16,4.91,2.88,0.34,94.33,99.8,2.39
0,8.97,102.06,2.79,15.91,16.81,4.52,2.38,1.05,92.03,92.5,1.94
0.01,9.4,101.26,4.41,16.83,17.06,3.49,3.67,0.95,86.77,73.4,2.95
0.47,10.8,100.95,6.84,18.85,18.44,4.56,4.76,0.94,86.8,92.6,3.55
3.97,11.05,101.37,5.33,18.27,18.35,3.33,3.84,0.92,84.88,70.2,2.94
1.19,9.83,101.45,6.96,16.65,17.4,0.71,5.77,0.55,80.76,17.8,4.69
1.13,11.72,100.89,6.88,18.59,18.12,2,4.79,0.87,91,44.6,3.62
0,6.59,101.56,6.62,13.72,15.85,4.5,5.37,0.81,89.81,91.5,4.41
